,Amount_Requested,Interest_Rate,Loan_Length,Debt_To_Income_Ratio,Monthly_Income,Open_CREDIT_Lines,Revolving_CREDIT_Balance,Inquiries_in_the_Last_6_Months,Employment_Length,FICO_avg,Loan_Purpose,State,Home_Ownership
22,6500.0,17.99,60.0,19.63,4100.0,11.0,11697.0,1.0,2.0,667.0,car,FL,RENT
23,17400.0,11.99,36.0,12.47,6833.33,7.0,26587.0,0.0,7.0,697.0,credit_card,AZ,RENT
24,4000.0,16.82,60.0,13.71,4500.0,5.0,20804.0,0.0,3.0,672.0,vacation,GA,MORTGAGE
25,7200.0,7.9,36.0,24.82,5416.67,8.0,12017.0,0.0,7.0,707.0,debt_consolidation,TX,RENT
26,8000.0,14.42,36.0,24.63,2964.17,9.0,8928.0,2.0,6.0,677.0,debt_consolidation,MA,RENT
27,8000.0,15.31,36.0,15.46,2916.67,13.0,7152.0,1.0,5.0,677.0,debt_consolidation,CA,MORTGAGE
28,3000.0,8.59,36.0,3.72,4167.0,4.0,7074.0,0.0,5.0,767.0,other,MA,MORTGAGE
29,14500.0,7.9,36.0,4.85,3958.33,4.0,9598.0,0.0,4.0,762.0,debt_consolidation,GA,MORTGAGE
30,23850.0,21.0,60.0,28.81,5833.33,19.0,25968.0,3.0,9.0,687.0,debt_consolidation,LA,MORTGAGE
31,14000.0,12.12,36.0,14.93,10583.33,9.0,35457.0,0.0,2.0,687.0,debt_consolidation,CA,MORTGAGE
32,35000.0,16.49,60.0,7.45,10416.67,7.0,31414.0,0.0,8.0,722.0,debt_consolidation,GA,MORTGAGE
33,16000.0,15.8,60.0,11.94,5250.0,14.0,154.0,1.0,3.0,687.0,car,WV,RENT
34,17350.0,13.55,36.0,18.52,3666.67,8.0,18966.0,2.0,6.0,677.0,debt_consolidation,NH,OWN
35,8000.0,7.9,36.0,29.62,5583.33,9.0,6065.0,1.0,10.0,782.0,car,AL,MORTGAGE
36,7200.0,7.9,36.0,7.98,5666.67,5.0,8783.0,0.0,3.0,722.0,debt_consolidation,GA,RENT
37,20125.0,7.62,36.0,4.29,3750.0,13.0,73952.0,0.0,1.0,832.0,home_improvement,VA,MORTGAGE
38,12000.0,8.9,36.0,12.06,5000.0,11.0,14717.0,0.0,4.0,717.0,debt_consolidation,NY,RENT
39,2400.0,12.49,36.0,20.56,3448.33,10.0,18749.0,5.0,1.0,662.0,home_improvement,MD,MORTGAGE
40,3200.0,17.27,36.0,8.36,2500.0,7.0,6619.0,1.0,3.0,672.0,home_improvement,HI,MORTGAGE
41,12725.0,11.14,36.0,22.15,4416.67,23.0,4079.0,0.0,3.0,722.0,debt_consolidation,TX,RENT
42,5500.0,19.13,36.0,3.58,12000.0,2.0,0.0,1.0,8.0,662.0,credit_card,DC,RENT
43,15650.0,21.74,36.0,13.86,3700.0,5.0,10605.0,1.0,4.0,662.0,house,MD,RENT
44,9000.0,17.27,36.0,25.22,5166.67,14.0,5852.0,1.0,10.0,677.0,credit_card,CA,RENT
45,5000.0,11.86,36.0,4.0,5577.0,3.0,1069.0,0.0,1.0,717.0,major_purchase,TX,RENT
46,3000.0,10.38,36.0,15.21,3083.33,11.0,3098.0,0.0,2.0,712.0,debt_consolidation,PA,RENT
47,20000.0,23.91,60.0,9.47,11250.0,5.0,11168.0,0.0,1.0,672.0,debt_consolidation,CA,MORTGAGE
48,5450.0,7.49,60.0,2.48,4600.0,14.0,4326.0,0.0,10.0,787.0,other,WA,MORTGAGE
49,14000.0,12.12,36.0,11.38,4500.0,22.0,18583.0,0.0,5.0,707.0,debt_consolidation,NY,MORTGAGE
50,8800.0,10.38,60.0,21.59,3750.0,11.0,18694.0,1.0,2.0,752.0,credit_card,IL,RENT
51,3000.0,17.44,36.0,15.79,7952.0,4.0,12578.0,0.0,8.0,662.0,other,MD,RENT
52,32000.0,17.27,60.0,15.61,9250.0,15.0,32566.0,1.0,2.0,702.0,debt_consolidation,IL,RENT
53,22250.0,21.49,60.0,28.87,4166.67,15.0,14107.0,0.0,9.0,667.0,debt_consolidation,HI,RENT
54,7325.0,17.8,60.0,20.37,3000.0,6.0,13583.0,0.0,5.0,682.0,debt_consolidation,NY,OWN
55,16450.0,11.14,36.0,7.57,7500.0,5.0,2928.0,0.0,1.0,727.0,debt_consolidation,NC,RENT
56,2500.0,12.98,36.0,16.45,1100.0,6.0,5019.0,1.0,4.0,672.0,debt_consolidation,WI,RENT
57,6000.0,9.99,36.0,7.5,2625.0,4.0,5167.0,0.0,10.0,717.0,other,FL,MORTGAGE
58,27575.0,14.33,36.0,19.63,5166.67,6.0,8720.0,0.0,10.0,692.0,debt_consolidation,CA,MORTGAGE
59,1000.0,8.59,36.0,10.69,4583.33,22.0,17069.0,1.0,1.0,757.0,educational,NY,OWN
60,12000.0,11.49,36.0,12.85,2708.33,8.0,12150.0,1.0,1.0,707.0,debt_consolidation,IL,RENT
61,30000.0,10.16,36.0,22.21,8000.0,14.0,33218.0,0.0,10.0,717.0,debt_consolidation,SD,MORTGAGE
62,13500.0,14.33,36.0,31.7,4166.67,11.0,31168.0,0.0,1.0,682.0,debt_consolidation,WV,RENT
63,9000.0,15.8,36.0,22.65,3250.0,9.0,16480.0,0.0,3.0,667.0,debt_consolidation,OH,MORTGAGE
64,15000.0,9.91,36.0,9.16,4250.0,11.0,11615.0,1.0,10.0,732.0,debt_consolidation,AK,MORTGAGE
65,5300.0,7.9,36.0,12.82,5500.0,8.0,9996.0,2.0,1.0,727.0,medical,CA,RENT
66,7000.0,13.11,36.0,16.76,3650.0,12.0,6444.0,1.0,5.0,687.0,debt_consolidation,NJ,RENT
67,20000.0,16.29,36.0,11.85,9166.67,10.0,12421.0,3.0,1.0,687.0,debt_consolidation,CA,RENT
68,15000.0,18.25,60.0,13.65,2916.67,4.0,12786.0,0.0,1.0,707.0,debt_consolidation,CA,RENT
69,8000.0,14.09,36.0,12.06,5000.0,10.0,15360.0,1.0,6.0,697.0,home_improvement,HI,RENT
70,24000.0,19.03,60.0,3.63,7500.0,6.0,8568.0,1.0,10.0,697.0,debt_consolidation,CA,RENT
71,7500.0,8.9,36.0,10.02,5500.0,9.0,2382.0,0.0,6.0,717.0,debt_consolidation,DE,RENT
72,17000.0,11.83,36.0,12.7,4583.33,5.0,3644.0,1.0,6.0,737.0,debt_consolidation,GA,RENT
73,12000.0,17.27,36.0,14.86,4583.33,12.0,9145.0,1.0,10.0,667.0,credit_card,NJ,OWN
74,6000.0,15.31,36.0,15.91,3833.33,11.0,5760.0,1.0,10.0,672.0,other,MN,RENT
75,6725.0,13.12,36.0,13.16,5000.0,10.0,5513.0,9.0,10.0,672.0,debt_consolidation,MO,MORTGAGE
76,4500.0,6.76,36.0,14.74,2666.67,7.0,2705.0,0.0,7.0,792.0,debt_consolidation,WV,MORTGAGE
77,1600.0,10.83,36.0,5.36,2427.0,5.0,7020.0,0.0,3.0,702.0,other,RI,RENT
78,10000.0,17.77,36.0,30.4,2500.0,5.0,8379.0,0.0,8.0,667.0,wedding,NY,OWN
79,18550.0,7.9,36.0,16.93,5416.67,10.0,28877.0,0.0,3.0,727.0,debt_consolidation,GA,MORTGAGE
80,7450.0,13.06,36.0,3.3,5883.33,2.0,6416.0,1.0,10.0,712.0,debt_consolidation,WA,MORTGAGE
81,3225.0,7.62,36.0,17.79,5833.33,5.0,70323.0,1.0,10.0,762.0,debt_consolidation,CA,MORTGAGE
82,23675.0,17.77,36.0,29.94,6399.0,21.0,21920.0,0.0,10.0,682.0,credit_card,PA,OWN
83,12000.0,12.12,36.0,18.62,5833.33,16.0,18838.0,0.0,10.0,692.0,debt_consolidation,VA,RENT
84,25000.0,16.49,36.0,18.18,6000.0,9.0,10630.0,2.0,7.0,697.0,debt_consolidation,MA,RENT
85,16000.0,11.12,36.0,17.86,6666.67,7.0,18659.0,4.0,5.0,727.0,credit_card,CA,MORTGAGE
86,4200.0,8.9,36.0,10.16,3041.67,4.0,1548.0,0.0,10.0,812.0,car,NC,MORTGAGE
87,10000.0,14.09,36.0,21.45,4583.33,11.0,8548.0,0.0,6.0,677.0,debt_consolidation,CO,RENT
88,6000.0,7.51,36.0,2.52,4800.0,4.0,1442.0,0.0,10.0,752.0,home_improvement,NJ,MORTGAGE
89,6000.0,13.11,36.0,15.33,3333.33,7.0,12503.0,2.0,2.0,687.0,debt_consolidation,KS,RENT
90,7925.0,16.29,36.0,21.25,2000.0,6.0,7840.0,0.0,6.0,667.0,debt_consolidation,GA,RENT
91,16000.0,7.62,36.0,6.48,6000.0,8.0,19539.0,0.0,5.0,767.0,debt_consolidation,IL,MORTGAGE
92,9525.0,15.81,36.0,11.35,2666.67,15.0,5610.0,1.0,5.0,672.0,small_business,CA,RENT
93,6000.0,14.35,36.0,14.08,2500.0,9.0,3621.0,3.0,1.0,677.0,debt_consolidation,IL,MORTGAGE
94,10000.0,14.96,36.0,11.5,5250.0,4.0,3035.0,5.0,2.0,677.0,debt_consolidation,FL,MORTGAGE
95,7000.0,6.62,36.0,8.03,10000.0,9.0,6761.0,1.0,6.0,752.0,major_purchase,NM,MORTGAGE
96,4500.0,5.99,36.0,18.48,10000.0,18.0,17863.0,3.0,6.0,767.0,debt_consolidation,CA,MORTGAGE
97,12000.0,11.14,36.0,2.37,12500.0,13.0,10944.0,0.0,5.0,737.0,debt_consolidation,MD,MORTGAGE
98,10375.0,19.72,36.0,4.99,4166.67,9.0,6122.0,1.0,5.0,667.0,debt_consolidation,CT,RENT
99,4800.0,18.75,36.0,10.89,5833.33,8.0,17943.0,0.0,10.0,672.0,other,NM,MORTGAGE
100,6400.0,13.11,36.0,11.46,4666.67,7.0,8942.0,1.0,10.0,702.0,credit_card,LA,MORTGAGE
101,5000.0,7.9,36.0,17.22,4000.0,10.0,6023.0,0.0,10.0,707.0,debt_consolidation,CA,OWN
102,12000.0,6.62,36.0,21.66,5250.0,11.0,20639.0,0.0,1.0,742.0,credit_card,NC,RENT
103,23850.0,21.48,60.0,18.75,4250.0,23.0,37251.0,0.0,4.0,692.0,other,NY,MORTGAGE
104,15000.0,10.65,36.0,16.15,7083.33,14.0,338.0,2.0,9.0,722.0,small_business,OH,MORTGAGE
105,8000.0,7.62,36.0,0.0,3500.0,7.0,0.0,1.0,5.0,767.0,other,NC,MORTGAGE
106,20000.0,6.03,36.0,18.67,14583.33,9.0,29044.0,0.0,7.0,717.0,credit_card,FL,MORTGAGE
107,20000.0,13.11,36.0,15.09,8233.33,17.0,29756.0,2.0,1.0,712.0,debt_consolidation,NC,RENT
108,10000.0,14.09,36.0,10.59,2916.67,9.0,10390.0,3.0,1.0,692.0,debt_consolidation,CA,RENT
109,18825.0,14.09,36.0,13.08,4000.0,6.0,20694.0,1.0,4.0,712.0,credit_card,MI,RENT
110,35000.0,7.9,36.0,1.59,18333.33,10.0,1992.0,0.0,1.0,777.0,small_business,IL,RENT
111,9000.0,6.03,36.0,5.58,9583.33,11.0,675.0,0.0,5.0,817.0,vacation,NJ,MORTGAGE
112,4000.0,6.17,36.0,15.0,4234.0,5.0,587.0,1.0,2.0,747.0,home_improvement,CT,RENT
113,5750.0,13.99,36.0,12.44,5000.0,13.0,12465.0,0.0,10.0,662.0,credit_card,CA,RENT
114,20950.0,15.8,36.0,15.71,12916.67,8.0,30188.0,1.0,4.0,692.0,debt_consolidation,MA,MORTGAGE
115,8000.0,10.99,36.0,14.76,7500.0,9.0,7120.0,2.0,1.0,712.0,credit_card,NY,RENT
116,10000.0,10.16,36.0,9.3,3333.33,8.0,8940.0,2.0,5.0,727.0,debt_consolidation,TX,MORTGAGE
117,10000.0,14.09,36.0,14.76,5000.0,7.0,4762.0,0.0,4.0,677.0,small_business,NY,RENT
118,14000.0,6.03,36.0,19.53,6000.0,13.0,4140.0,0.0,8.0,767.0,credit_card,CT,MORTGAGE
119,5000.0,7.66,36.0,3.33,9000.0,3.0,12297.0,0.0,10.0,737.0,credit_card,RI,RENT
120,25000.0,19.05,60.0,10.53,6250.0,8.0,15159.0,1.0,9.0,702.0,debt_consolidation,IL,MORTGAGE
121,35000.0,8.9,36.0,14.62,10416.67,9.0,21321.0,0.0,10.0,737.0,debt_consolidation,CA,RENT
122,7200.0,11.14,36.0,27.89,3750.0,8.0,20342.0,0.0,10.0,692.0,debt_consolidation,OK,MORTGAGE
123,14000.0,8.49,60.0,9.89,9000.0,17.0,23773.0,0.0,4.0,762.0,debt_consolidation,CA,MORTGAGE
124,15000.0,15.21,36.0,19.1,5132.0,4.0,34044.0,1.0,3.0,682.0,debt_consolidation,TX,RENT
125,25000.0,19.72,60.0,32.1,4916.67,21.0,35208.0,1.0,7.0,697.0,debt_consolidation,NY,OWN
126,10800.0,14.65,36.0,7.89,9583.33,6.0,6487.0,1.0,1.0,677.0,debt_consolidation,CA,RENT
127,20000.0,14.33,36.0,21.44,6250.0,9.0,14268.0,1.0,9.0,702.0,credit_card,GA,MORTGAGE
128,4000.0,10.74,36.0,1.97,2900.0,13.0,1869.0,1.0,5.0,697.0,debt_consolidation,KS,RENT
129,16000.0,15.7,36.0,23.51,9333.33,20.0,12721.0,5.0,10.0,677.0,debt_consolidation,OH,MORTGAGE
130,1400.0,9.76,36.0,27.14,4683.33,6.0,6466.0,0.0,2.0,732.0,vacation,NV,MORTGAGE
131,7500.0,16.32,36.0,12.54,4600.0,3.0,6120.0,0.0,2.0,667.0,debt_consolidation,CA,MORTGAGE
132,24625.0,14.07,36.0,12.81,10000.0,14.0,33698.0,0.0,8.0,677.0,credit_card,NY,MORTGAGE
133,5000.0,14.09,36.0,29.02,5416.67,11.0,3977.0,1.0,1.0,682.0,debt_consolidation,FL,MORTGAGE
134,25000.0,9.91,36.0,20.49,7916.67,14.0,27203.0,0.0,1.0,727.0,debt_consolidation,NY,RENT
135,7500.0,16.4,36.0,13.34,4166.67,8.0,7430.0,0.0,1.0,662.0,debt_consolidation,CA,RENT
136,34500.0,6.62,36.0,16.46,10000.0,8.0,5317.0,0.0,9.0,807.0,small_business,CA,MORTGAGE
137,10000.0,5.79,36.0,6.49,12500.0,17.0,75629.0,0.0,1.0,747.0,debt_consolidation,GA,MORTGAGE
138,3200.0,9.88,36.0,6.51,4500.0,7.0,3198.0,0.0,5.0,742.0,debt_consolidation,MA,RENT
139,5500.0,15.99,60.0,17.95,4250.0,16.0,13256.0,0.0,10.0,702.0,debt_consolidation,RI,RENT
140,3000.0,9.76,36.0,21.82,1100.0,4.0,2413.0,0.0,5.0,722.0,debt_consolidation,VA,OWN
141,18000.0,23.28,60.0,9.05,7083.33,6.0,13106.0,0.0,10.0,662.0,debt_consolidation,WI,RENT
142,10000.0,9.63,36.0,13.77,4190.0,6.0,1251.0,1.0,1.0,737.0,debt_consolidation,OK,MORTGAGE
143,8800.0,13.11,36.0,16.73,3150.25,13.0,14266.0,1.0,4.0,702.0,credit_card,WI,RENT
144,7000.0,11.14,36.0,23.02,6000.0,17.0,19634.0,2.0,6.0,707.0,debt_consolidation,TX,MORTGAGE
145,8000.0,13.11,36.0,19.01,2625.0,8.0,7554.0,1.0,5.0,727.0,debt_consolidation,AK,RENT
146,3000.0,17.27,36.0,16.62,3833.33,4.0,4136.0,0.0,5.0,662.0,credit_card,SC,RENT
147,12000.0,7.51,36.0,11.91,7500.0,18.0,33702.0,1.0,10.0,737.0,debt_consolidation,MD,RENT
148,3600.0,14.11,36.0,0.04,2500.0,4.0,1.0,0.0,3.0,727.0,small_business,WI,RENT
149,11625.0,14.33,36.0,22.84,2833.33,6.0,27411.0,2.0,8.0,707.0,debt_consolidation,NY,MORTGAGE
150,30000.0,21.49,36.0,16.7,12500.0,14.0,19096.0,2.0,9.0,672.0,credit_card,MD,MORTGAGE
151,16000.0,8.9,36.0,19.71,7083.33,11.0,6185.0,1.0,4.0,722.0,debt_consolidation,CO,RENT
152,10800.0,10.75,36.0,15.32,8400.0,6.0,24675.0,0.0,10.0,717.0,major_purchase,FL,MORTGAGE
153,25000.0,16.69,60.0,14.11,7666.67,15.0,28748.0,3.0,8.0,707.0,debt_consolidation,CO,MORTGAGE
154,10000.0,13.98,60.0,14.86,3916.67,9.0,5188.0,4.0,4.0,712.0,other,MO,RENT
155,12375.0,10.91,36.0,16.39,3892.75,11.0,8332.0,2.0,3.0,692.0,small_business,VA,MORTGAGE
156,6000.0,11.48,36.0,18.2,5031.67,9.0,50935.0,0.0,10.0,707.0,credit_card,NY,MORTGAGE
157,8000.0,13.49,36.0,14.92,5000.0,18.0,4786.0,1.0,2.0,687.0,debt_consolidation,CO,RENT
158,15000.0,18.25,36.0,9.73,5000.0,11.0,14596.0,0.0,8.0,662.0,credit_card,GA,MORTGAGE
159,7000.0,17.77,36.0,32.25,3333.33,12.0,35604.0,3.0,7.0,667.0,other,NY,RENT
160,8400.0,6.92,36.0,13.3,3000.0,9.0,6998.0,1.0,1.0,747.0,renewable_energy,MD,RENT
161,15000.0,7.9,36.0,18.62,4500.0,10.0,17212.0,0.0,7.0,742.0,debt_consolidation,PA,MORTGAGE
162,15000.0,14.33,36.0,13.3,5000.0,7.0,11368.0,1.0,1.0,667.0,debt_consolidation,TX,RENT
163,2800.0,10.16,36.0,12.0,2083.33,7.0,7261.0,0.0,1.0,697.0,major_purchase,NY,RENT
164,7750.0,16.29,36.0,26.74,2916.67,18.0,17102.0,0.0,5.0,682.0,debt_consolidation,FL,MORTGAGE
165,4500.0,8.9,36.0,18.18,2166.67,8.0,5361.0,0.0,4.0,702.0,credit_card,UT,RENT
166,17500.0,12.53,36.0,21.63,3666.67,7.0,20010.0,0.0,6.0,717.0,debt_consolidation,CO,RENT
167,18000.0,15.31,60.0,4.93,5258.5,6.0,11596.0,0.0,10.0,712.0,debt_consolidation,CA,RENT
168,15000.0,15.27,60.0,17.9,2748.0,14.0,7956.0,1.0,6.0,722.0,debt_consolidation,PA,MORTGAGE
169,6000.0,15.23,36.0,19.57,4583.33,13.0,8077.0,1.0,1.0,667.0,credit_card,KS,OWN
170,11500.0,11.14,36.0,28.25,2750.0,6.0,9079.0,0.0,5.0,702.0,credit_card,CA,RENT
171,10000.0,13.11,36.0,7.56,2500.0,8.0,10906.0,0.0,7.0,687.0,credit_card,PA,RENT
172,12000.0,8.9,36.0,12.46,5000.0,5.0,13940.0,0.0,10.0,727.0,credit_card,MD,RENT
173,10000.0,12.12,36.0,18.4,5000.0,7.0,13202.0,0.0,10.0,687.0,debt_consolidation,CA,MORTGAGE
174,35000.0,21.28,60.0,18.21,7916.67,8.0,19789.0,2.0,10.0,682.0,debt_consolidation,AL,RENT
175,7200.0,10.38,60.0,17.97,3000.0,7.0,2753.0,1.0,2.0,752.0,major_purchase,PA,RENT
176,4000.0,7.9,60.0,4.48,4000.0,16.0,6696.0,0.0,1.0,802.0,car,TX,OWN
177,5300.0,11.14,36.0,8.47,8333.33,5.0,73258.0,1.0,3.0,742.0,debt_consolidation,UT,MORTGAGE
178,1200.0,7.62,36.0,8.69,3833.33,14.0,350.0,1.0,7.0,732.0,other,NY,MORTGAGE
179,2500.0,11.14,36.0,10.08,4333.33,4.0,4922.0,0.0,3.0,722.0,major_purchase,CA,RENT
180,17000.0,14.33,36.0,26.35,7500.0,21.0,39130.0,3.0,10.0,702.0,debt_consolidation,MN,OWN
181,16000.0,7.9,36.0,12.3,8416.67,14.0,21913.0,1.0,5.0,697.0,credit_card,CA,MORTGAGE
182,10000.0,12.69,36.0,3.8,6666.67,8.0,7967.0,1.0,3.0,697.0,debt_consolidation,CA,MORTGAGE
183,5000.0,10.16,36.0,24.5,6250.0,9.0,33705.0,0.0,6.0,702.0,debt_consolidation,AL,MORTGAGE
184,4375.0,19.05,36.0,9.09,2916.67,9.0,6944.0,2.0,6.0,672.0,credit_card,CA,RENT
185,8500.0,6.03,36.0,12.33,6100.0,17.0,6370.0,0.0,10.0,747.0,home_improvement,MO,MORTGAGE
186,12000.0,16.89,60.0,15.24,7500.0,14.0,28589.0,2.0,3.0,677.0,small_business,OH,MORTGAGE
187,6200.0,8.59,36.0,19.1,5000.0,17.0,9367.0,0.0,1.0,742.0,other,WI,RENT
188,7000.0,18.49,36.0,18.9,2000.0,10.0,7315.0,2.0,1.0,662.0,debt_consolidation,AR,MORTGAGE
189,20800.0,12.69,60.0,7.08,6541.67,9.0,13197.0,0.0,1.0,732.0,debt_consolidation,GA,MORTGAGE
190,19200.0,13.11,60.0,3.45,8333.33,14.0,50625.0,3.0,2.0,747.0,other,IL,MORTGAGE
191,22000.0,15.8,60.0,21.32,5416.67,9.0,10267.0,1.0,10.0,702.0,debt_consolidation,KY,MORTGAGE
192,15000.0,19.05,36.0,24.88,6000.0,12.0,12162.0,0.0,1.0,677.0,debt_consolidation,AZ,RENT
193,7000.0,19.47,36.0,17.08,5000.0,11.0,13859.0,0.0,3.0,667.0,debt_consolidation,NJ,RENT
194,20000.0,8.9,36.0,17.08,4916.67,10.0,14952.0,2.0,4.0,732.0,credit_card,CO,RENT
195,2000.0,6.17,36.0,18.35,5733.58,9.0,21998.0,0.0,3.0,747.0,moving,WA,RENT
196,18000.0,10.59,60.0,15.03,4000.0,9.0,6718.0,0.0,10.0,757.0,major_purchase,OH,MORTGAGE
197,20800.0,11.48,36.0,21.77,11666.67,6.0,682.0,1.0,10.0,792.0,home_improvement,CA,OWN
198,9000.0,7.88,36.0,14.51,5708.33,9.0,12217.0,0.0,7.0,727.0,debt_consolidation,MA,MORTGAGE
199,6000.0,14.09,36.0,22.5,2666.67,18.0,5955.0,0.0,10.0,672.0,credit_card,UT,RENT
200,5000.0,15.8,36.0,34.2,3750.0,18.0,5414.0,3.0,3.0,667.0,debt_consolidation,CA,RENT
201,12000.0,14.83,60.0,22.31,4186.0,9.0,9398.0,0.0,3.0,687.0,credit_card,CA,RENT
202,7000.0,8.0,36.0,6.36,7583.33,9.0,21135.0,0.0,10.0,752.0,credit_card,AZ,MORTGAGE
203,6000.0,10.0,36.0,8.74,15416.67,9.0,105730.0,1.0,10.0,717.0,major_purchase,FL,MORTGAGE
204,17000.0,13.98,36.0,17.65,9166.67,14.0,16230.0,4.0,3.0,702.0,debt_consolidation,TX,MORTGAGE
205,12000.0,8.94,36.0,18.99,4750.0,13.0,25577.0,1.0,4.0,752.0,credit_card,TX,RENT
206,16350.0,7.9,36.0,25.03,4541.67,7.0,25731.0,0.0,9.0,732.0,credit_card,MN,OWN
207,20000.0,7.9,36.0,20.04,4625.0,14.0,31335.0,1.0,10.0,757.0,debt_consolidation,TX,MORTGAGE
208,12300.0,12.12,36.0,10.01,6583.33,15.0,12450.0,0.0,1.0,692.0,debt_consolidation,CA,RENT
209,4800.0,13.11,36.0,4.61,2666.67,3.0,7911.0,0.0,1.0,692.0,moving,TX,RENT
210,14500.0,7.9,36.0,11.96,4500.0,8.0,16398.0,0.0,6.0,737.0,credit_card,IL,RENT
211,4200.0,8.9,36.0,10.43,2254.0,7.0,4490.0,0.0,5.0,702.0,debt_consolidation,CA,MORTGAGE
212,22250.0,14.09,36.0,32.1,6583.33,18.0,44868.0,0.0,10.0,692.0,credit_card,MN,MORTGAGE
213,8000.0,14.09,36.0,7.68,25000.0,6.0,28579.0,1.0,8.0,677.0,home_improvement,IL,RENT
214,8325.0,17.77,36.0,20.75,2000.0,7.0,7676.0,0.0,1.0,667.0,debt_consolidation,MO,RENT
215,14000.0,13.11,36.0,8.12,10416.67,4.0,4776.0,0.0,7.0,732.0,debt_consolidation,CA,OWN
216,9000.0,10.16,36.0,3.98,6000.0,6.0,5659.0,0.0,7.0,707.0,debt_consolidation,MD,MORTGAGE
217,16000.0,13.11,36.0,17.61,6083.33,13.0,15148.0,0.0,2.0,682.0,credit_card,GA,MORTGAGE
218,15200.0,11.14,36.0,14.5,7916.67,7.0,217827.0,2.0,6.0,762.0,credit_card,AZ,MORTGAGE
219,24000.0,10.65,36.0,14.8,3750.0,5.0,24708.0,0.0,10.0,727.0,debt_consolidation,CA,RENT
220,16450.0,15.31,36.0,11.66,6666.67,8.0,12697.0,3.0,9.0,687.0,debt_consolidation,OH,MORTGAGE
221,7500.0,12.12,36.0,26.56,5000.0,8.0,9047.0,1.0,10.0,712.0,home_improvement,NH,MORTGAGE
222,4750.0,22.47,36.0,24.45,1333.33,9.0,4752.0,2.0,1.0,667.0,debt_consolidation,UT,RENT
223,6500.0,7.9,36.0,12.56,6750.0,17.0,33229.0,0.0,8.0,722.0,debt_consolidation,AR,RENT
224,5500.0,18.67,60.0,17.71,1750.0,6.0,4492.0,6.0,2.0,662.0,debt_consolidation,NY,RENT
225,9600.0,6.03,36.0,7.52,6250.0,7.0,765.0,0.0,1.0,752.0,home_improvement,AL,MORTGAGE
226,12000.0,12.12,36.0,31.34,4166.67,21.0,28703.0,2.0,3.0,712.0,major_purchase,NY,OWN
227,2000.0,7.51,36.0,16.73,1500.0,5.0,2925.0,0.0,4.0,732.0,other,CA,RENT
